WP4;DRN;campaign;alpha;beta;gamma
3526;France;3;0.85303572;0.015355777;0.868391497
3526;France;4;0.857308196;0.014403623;0.871711819
3526;France;5;0.879500768;0.007744273;0.887245042
3527;France;1;0.884445379;-0.007997112;0.876448266
3527;France;2;0.85940011;0.005173299;0.864573409
3527;France;3;0.851955882;0.015055602;0.867011485
3527;France;4;0.856314348;0.013958144;0.870272492
3527;France;5;0.879866096;0.005848865;0.885714961
3737;France;1;0.772511202;0.057711874;0.830223076
3737;France;2;0.714798113;0.100458838;0.815256952
3737;France;3;0.705356918;0.10815364;0.813510558
3737;France;4;0.717806743;0.098812571;0.816619314
3737;France;5;0.789162132;0.047701198;0.83686333
3738;France;1;0.798401599;0.03860799;0.837009589
3738;France;2;0.739144849;0.081616984;0.820761832
3738;France;3;0.725186366;0.092536693;0.817723059
3738;France;4;0.737025757;0.083661487;0.820687245
3738;France;5;0.811505528;0.030634222;0.84213975
3739;France;1;0.816216759;0.026907022;0.843123781
3739;France;2;0.758142427;0.067590743;0.82573317
3739;France;3;0.74196749;0.07988556;0.821853051
3739;France;4;0.75369011;0.071232066;0.824922176
3739;France;5;0.825692393;0.021571319;0.847263712
3751;France;1;0.869589314;-0.003462591;0.866126723
3751;France;2;0.835736195;0.014692677;0.850428871
3751;France;3;0.807039005;0.033394774;0.840433779
3751;France;4;0.792827641;0.042713635;0.835541277
3751;France;5;0.856260586;0.003135788;0.859396374
3740;France;1;0.837173247;0.013609403;0.850782651
3740;France;2;0.782789427;0.049572997;0.832362424
3740;France;3;0.764079091;0.063284821;0.827363911
3740;France;4;0.775224555;0.05521782;0.830442375
3740;France;5;0.842717757;0.01035876;0.853076517
3749;France;1;0.87550236;-0.005426236;0.870076124
3749;France;2;0.838208199;0.013027287;0.851235486
3749;France;3;0.821923439;0.023323565;0.845247004
3749;France;4;0.831408064;0.01738631;0.848794374
3749;France;5;0.87663858;-0.005780336;0.870858244
3750;France;1;0.883143949;0.002423053;0.885567003
3750;France;2;0.865976979;0.00115954;0.867136519
3750;France;3;0.857817584;0.003601465;0.861419049
3750;France;4;0.86299275;0.001192232;0.864184982
3750;France;5;0.887300226;-0.002245775;0.885054451
3741;France;1;0.857110458;0.002959688;0.860070146
3741;France;2;0.809602885;0.031218028;0.840820913
3741;France;3;0.792196041;0.043307913;0.835503955
3741;France;4;0.803116911;0.035772051;0.838888962
3741;France;5;0.861847249;2.76E-04;0.862122921
3742;France;1;0.84166335;0.011852558;0.853515908
3742;France;2;0.78260338;0.050400772;0.833004151
3742;France;3;0.759489825;0.066867426;0.826357251
3742;France;4;0.834268709;0.015858739;0.850127448
3742;France;5;0.887619339;-0.005013646;0.882605693
3743;France;1;0.861877067;8.33E-04;0.862710024
3743;France;2;0.813113706;0.028594267;0.841707972
3743;France;3;0.796297673;0.039965293;0.836262966
3743;France;4;0.768641627;0.059452748;0.828094375
3743;France;5;0.891027965;-0.006828571;0.884199394
