campaing,WP4_ID,nep
1,3701,-0.5303987146322299
1,3702,-0.4255800887383546
1,3703,-0.4995560303654231
1,3704,-0.5458464534979534
1,3705,-0.45363237635900094
1,3706,-0.49006809020104186
1,3707,-0.4064152202274516
1,3708,-0.5981738094778923
1,3709,-0.5108979739923987
1,3710,-0.8408637525790734
1,3711,-0.885755990367681
1,3712,-0.7038406057621928
1,3713,-0.6899021631232046
1,3714,-0.5300962756782571
1,3715,-0.464318673689118
1,3716,-0.5697369549218821
1,3717,-0.658845102828415
1,3718,-0.5654048671637604
1,3719,-0.6560256988457591
1,3720,-0.6247719512123192
1,3721,-0.595265986467427
1,3722,-0.5815032445887707
1,3723,-0.551778582738891
1,3724,-0.7002440265763666
1,3725,-0.5145443381786761
1,3727,-0.3087603877101933
1,3728,-0.32446774556880265
1,3729,-0.5072367739856886
1,3730,-0.4052269868525837
1,3731,-0.2613213571771612
1,3733,-0.5661057599348334
1,3734,-0.4799299145987438
1,3735,-0.5316284942343719
1,3736,-0.6259366289962365
1,3737,-0.58371906649209
1,3738,-0.4646788101550093
1,3739,-0.5698166966464843
1,3740,-0.3748535498313882
1,3741,-0.2497843767159442
1,3742,-0.36038722150856495
1,3743,-0.39142063466278626
1,3744,-0.31212397394191915
1,3745,-0.33104725745736296
1,3746,-0.40499846013562163
1,3747,-0.42356359432382606
1,3748,-0.36932984415255055
1,3749,-0.4699149850230847
1,3750,-0.5395098886871342
1,3751,-0.28744346632557927
1,3752,-0.5500355630963761
1,3753,-0.48484146855863375
1,3754,-0.6262504106615265
1,3755,-0.5461811262834365
1,3756,-0.5438985819664668
1,3757,-0.6023307354377484
1,3758,-0.6392468667025187
1,3759,-0.5374301576098134
1,3760,-0.5471299604086554
1,3761,-0.3572849108924235
1,3762,-0.5439194993969079
1,3763,-1.041690905448654
1,3764,-0.8110864094082845
1,3765,-0.528340870374949
1,3766,-0.46827593953427255
1,3767,-0.4568769404094752
1,3768,-0.33934615115580663
1,3769,-0.434896891918033
1,3770,-0.6718400629640713
1,3771,-0.4953057020178822
1,3772,-0.47461552637762444
1,3773,-0.5226412115640942
1,3775,-0.7501222753040596
1,3776,-0.8426301204871431
1,3777,-0.6474700118920482
1,3778,-0.47044082594621245
1,3779,-0.5585824939237253
1,3780,-0.5473161630924698
1,3781,-0.600631857061632
1,3782,-0.505692158604677
1,3783,-0.32958318344316584
1,3784,-0.055283407792962216
1,3785,-0.38244466641257957
1,3786,-0.38739628783937263
1,3787,-0.4708476309055912
1,3788,-0.39742162056678426
1,3789,-0.484627516857429
1,3790,-0.3435655889252646
1,3791,-0.5140827560321288
1,3792,-0.3489036278689928
1,3793,-0.309810009805191
1,3794,-0.42331207079208916
1,3795,-0.5825532478511181
1,3796,-0.6647648592376435
1,3797,-0.5786501647465722
1,3798,-0.29517092912610765
1,3799,-0.3793292789922779
1,3800,-0.6234741241784221
1,3801,-0.5233466655887129
1,3802,-0.5563549092758076
1,3803,-0.7726292325712444
1,3804,-0.6058044329905302
1,3805,-0.6187220501883082
1,3806,-0.9820628783516288
1,3807,-0.9902731174160091
1,3808,-0.6691651912067095
1,3809,-0.5032870538709859
1,3810,-0.5712309752430047
1,3811,-0.5179075190963746
1,3812,-0.47354233087761466
1,3813,-0.47470718522994276
1,3814,-0.5768134037577808
1,3815,-0.8030548731473849
1,3816,-0.5809951682926651
1,3817,-0.9408865278474929
1,3818,-0.838000885055806
1,3819,-1.106006370531537
1,3820,-0.5172523199275205
1,3821,-0.8677633578916651
1,3822,-1.0574141884655048
1,3823,-2.5091827287475663
1,3824,-1.6832483448897446
1,3825,-1.11158943634378
1,3826,-0.9458698043862963
