"WP4","campaign","dr_ss","pu"
3740,3,0.621333729,1
3741,3,0.464215526,1
3742,3,0.29079125,1
3743,3,0.373897845,1
3744,3,0.336929494,1
3745,3,0.275761418,1
3746,3,0.309459383,1
3747,3,0.248482204,1
3748,3,0.178742925,1
3749,3,0.275911357,1
3750,3,0.089090189,1
3751,3,0.247303556,1
3752,3,0.241442685,1
3753,3,0.46471145,1
3754,3,0.076448673,1
3755,3,0.022500533,1
3756,3,0.043840823,1
3757,3,0.07227354,1
3758,3,0.159778002,1
3759,3,0.06872781,1
3760,3,0.048851477,1
3761,3,0.24489402,1
3762,3,0.15447747,1
3763,3,0.133706268,1
3764,3,0.157604908,1
3765,3,0.125332701,1
3766,3,0.192848947,1
3767,3,0.16570836,1
3768,3,0.199794179,1
3769,3,0.240427607,1
3770,3,0.165139316,1
3771,3,0.208026853,1
3772,3,0.16669211,1
3773,3,0.127531779,1
3775,3,0.120144841,1
3776,3,0.160611171,1
3777,3,0.229217913,1
3778,3,0.219794277,1
3779,3,0.13400991,1
3780,3,0.103537709,1
3781,3,0.034967969,1
3782,3,0.047031025,1
3783,3,0.193117353,1
3784,3,0.201122137,1
3785,3,0.16580964,1
3786,3,0.308191029,1
3787,3,0.140948656,1
3788,3,0.236898027,1
3789,3,0.112393018,1
3790,3,0.205176248,1
3791,3,0.086958133,1
3792,3,0.190735716,1
3793,3,0.240820585,1
3794,3,0.296832531,1
3795,3,0.062409693,1
3796,3,0.131789014,1
3797,3,0.137357177,1
3798,3,0.157508964,1
3799,3,0.16104029,1
3800,3,0.061634326,1
3801,3,0.143876629,1
3802,3,0.164978268,1
3803,3,0.069922891,1
3804,3,0.174847321,1
3805,3,0.161834023,1
3806,3,0.103231192,1
3807,3,0.144926442,1
3808,3,0.134125221,1
3809,3,0.113204683,1
3810,3,0.085367348,1
3811,3,0.184725776,1
3812,3,0.061972752,1
3813,3,0.10631494,1
3814,3,0.163219061,1
3815,3,0.051653833,1
3816,3,0.109405475,1
3817,3,0.116240804,1
3818,3,0.119615347,1
3819,3,0.016055468,1
3820,3,0.13986399,1
3821,3,0.037948088,1
3822,3,0.000165,1
3823,3,0.014071706,1
3824,3,0.028689282,1
3825,3,0.024753492,1
3826,3,0.090917558,1
3827,3,0.11690598,1
3828,3,0.224778913,1
3829,3,0.174570871,1
3830,3,0.10204795,1
3831,3,0.044679856,1
3832,3,0.109017428,1
3833,3,0.015661064,1
3834,3,0.050134278,1
3835,3,2.36e-05,1
3836,3,0.000105,1
3837,3,0.000191,1
3838,3,0.004772743,1
3839,3,0.00281797,1
3840,3,0.001266526,1
3841,3,0.001298716,1
3842,3,0.00102934,1
3843,3,0.00395808,1
3844,3,0.001513207,1
3845,3,0.000565,1
3846,3,0.000432,1
