WP4,campaign,flo_rip,pu
3825,1,0.26538108356446277,103825
3826,1,0.23507805325840217,103826
3827,1,0.20661157024793386,103827
3828,1,0.26538108356446277,103828
3829,1,0.29752066115702475,103829
3830,1,0.23507805325840217,103830
3831,1,0.44444444444242415,103831
3832,1,0.1322314049586777,103832
3833,1,0.7722681359071625,103833
3834,1,0.1111111111121212,103834
3835,1,0,103835
3836,1,0.07438016528925619,103836
3837,1,0.07438016528925619,103837
3838,1,0.17998163452837462,103838
3839,1,0.17998163452837462,103839
3840,1,0.17998163452837462,103840
3841,1,0.23507805325840217,103841
3842,1,0.29752066115702475,103842
3843,1,0.3673094582203856,103843
3844,1,0.3314967860404958,103844
3845,1,0.3673094582203856,103845
3846,1,0.3673094582203856,103846
3847,1,0.29752066115702475,103847
3848,1,0.26538108356446277,103848
3849,1,0.26538108356446277,103849
3850,1,0.26538108356446277,103850
3851,1,0.20661157024793386,103851
3852,1,0.20661157024793386,103852
3853,1,0.26538108356446277,103853
3854,1,0.091827364553719,103854
3855,1,0.07438016528925619,103855
3856,1,0.07438016528925619,103856
3857,1,0.058769513315702473,103857
3858,1,0.3314967860404958,103858
3859,1,0.719926538105785,103859
3860,1,1,103860
3861,1,1,103861
3862,1,1,103862
3863,1,0.03305785123966942,103863
3864,1,0.26538108356446277,103864
3865,1,0.15518824609614323,103865
3866,1,0.091827364553719,103866
3867,1,0.008264462809917356,103867
3868,1,0.07438016528925619,103868
3869,1,0.07438016528925619,103869
3870,1,0.1111111111121212,103870
3871,1,0.1111111111121212,103871
3872,1,0.17998163452837462,103872
3873,1,0.20661157024793386,103873
3874,1,0.40495867768595034,103874
3875,1,0.40495867768595034,103875
3876,1,0.1322314049586777,103876
3877,1,0.1322314049586777,103877
3878,1,0.1322314049586777,103878
3879,1,0.07438016528925619,103879
3880,1,0.03305785123966942,103880
3947,1,0.03305785123966942,103947
3507,2,0.23507805325840217,203507
3508,2,0.20661157024793386,203508
3509,2,0.20661157024793386,203509
3510,2,0.17998163452837462,203510
3511,2,0.1322314049586777,203511
3512,2,0.1322314049586777,203512
3513,2,0.1111111111121212,203513
3514,2,0.15518824609614323,203514
3515,2,0.1111111111121212,203515
3516,2,0.1111111111121212,203516
3517,2,0.091827364553719,203517
3518,2,0.091827364553719,203518
3519,2,0.091827364553719,203519
3520,2,0.23507805325840217,203520
3521,2,0.07438016528925619,203521
3522,2,0.07438016528925619,203522
3523,2,0.07438016528925619,203523
3524,2,0.07438016528925619,203524
3525,2,0.058769513315702473,203525
3526,2,0.058769513315702473,203526
3527,2,0.058769513315702473,203527
3528,2,0.03305785123966942,203528
3529,2,0.03305785123966942,203529
3530,2,0.03305785123966942,203530
3531,2,0.03305785123966942,203531
3532,2,0.03305785123966942,203532
3533,2,0.03305785123966942,203533
3534,2,0.03305785123966942,203534
3535,2,0.03305785123966942,203535
3536,2,0.03305785123966942,203536
3537,2,0.03305785123966942,203537
3538,2,0.03305785123966942,203538
3539,2,0.03305785123966942,203539
3540,2,0.014692378328374653,203540
3541,2,0.014692378328374653,203541
3542,2,0.02295684113911845,203542
3543,2,0.014692378328374653,203543
3544,2,0.014692378328374653,203544
3545,2,0.014692378328374653,203545
3546,2,0.014692378328374653,203546
3547,2,0.014692378328374653,203547
3548,2,0.014692378328374653,203548
3549,2,0.014692378328374653,203549
3550,2,0.014692378328374653,203550
3551,2,0.02295684113911845,203551
3552,2,0.02295684113911845,203552
3553,2,0.02295684113911845,203553
3554,2,0.02295684113911845,203554
3555,2,0.02295684113911845,203555
3556,2,0.02295684113911845,203556
3557,2,0.02295684113911845,203557
3558,2,0.02295684113911845,203558
3559,2,0.03305785123966942,203559
3560,2,0.04499540863112947,203560
3561,2,0.04499540863112947,203561
3562,2,0.04499540863112947,203562
3563,2,0.04499540863112947,203563
3564,2,0.04499540863112947,203564
3565,2,0.04499540863112947,203565
3566,2,0.058769513315702473,203566
3567,2,0.091827364553719,203567
3568,2,0.1111111111121212,203568
3569,2,0.1111111111121212,203569
3570,2,0.1111111111121212,203570
3571,2,0.1111111111121212,203571
3572,2,0.04499540863112947,203572
3573,2,0.04499540863112947,203573
3574,2,0.04499540863112947,203574
3575,2,0.091827364553719,203575
3576,2,0.058769513315702473,203576
3577,2,0.07438016528925619,203577
3578,2,0.058769513315702473,203578
3579,2,0.04499540863112947,203579
3580,2,0.04499540863112947,203580
3581,2,0.04499540863112947,203581
3582,2,0.02295684113911845,203582
3583,2,0.03305785123966942,203583
3584,2,0.091827364553719,203584
3585,2,0.04499540863112947,203585
3586,2,0.091827364553719,203586
3587,2,0.091827364553719,203587
3588,2,0.1111111111121212,203588
3589,2,0.1111111111121212,203589
3590,2,0.1111111111121212,203590
3592,2,0.1111111111121212,203592
3593,2,0.058769513315702473,203593
3594,2,0.1322314049586777,203594
