WP4,campaign,co2,pu
3558,3,1587.8046752431242,303558
3558,4,4431.394524389329,403558
3558,5,577.7776422236262,503558
3558,6,3610.3064969305196,603558
3559,1,4697.326898172554,103559
3559,2,3857.81314701583,203559
3559,3,3096.3644374219775,303559
3559,4,9893.158471348901,403559
3559,5,1385.2663604488703,503559
3559,6,7665.867225681019,603559
3560,1,2337.483034720101,103560
3560,2,1982.7517139754873,203560
3560,3,1763.105002800096,303560
3560,4,4100.057707928235,403560
3560,5,597.7663921663146,503560
3560,6,3378.48161552533,603560
3561,1,3292.2359811370793,103561
3561,2,2942.667101027953,203561
3561,3,2004.6096259336443,303561
3561,4,3144.7379076315765,403561
3561,5,557.1600374660014,503561
3561,6,3487.757988872519,603561
3562,1,5541.0841836943755,103562
3562,2,5471.869806309844,203562
3562,3,3136.1799697081333,303562
3562,4,4621.542965269997,403562
3562,5,853.7647772713035,503562
3562,6,5888.581281761309,603562
3563,1,1661.5698701389924,103563
3563,2,1632.6818442669344,203563
3563,3,905.7549110114225,303563
3563,4,1261.7197689462796,403563
3563,5,278.9913697130852,503563
3563,6,1765.5282074373454,603563
3564,1,1936.6748562483467,103564
3564,2,1897.1602690623083,203564
3564,3,1102.1205198944601,303564
3564,4,1754.4168053939634,403564
3564,5,338.3458925336927,503564
3564,6,2059.5248740994484,603564
3565,1,10319.537427098145,103565
3565,2,9890.46717653788,203565
3565,3,5567.092977892455,303565
3565,4,8058.661163849829,403565
3565,5,1730.8353543647136,503565
3565,6,10942.318224055074,603565
3566,1,2976.9184001438866,103566
3566,2,2949.6199560908954,203566
3566,3,1767.3811263440489,303566
3566,4,2737.6671505282875,403566
3566,5,743.7070239991941,503566
3566,6,3216.550707214429,603566
3567,1,6971.031383886799,103567
3567,2,7123.61100092664,203567
3567,3,4261.64089531,303567
3567,4,5837.267556525986,403567
3567,5,1547.7392013100489,503567
3567,6,7617.6505234451415,603567
3568,1,9595.892661685866,103568
3568,2,7391.46262434534,203568
3568,3,5511.660847640938,303568
3568,4,8594.182130472062,403568
3568,5,4892.196261926636,503568
3568,6,7756.947783020627,603568
3569,1,5303.713143473913,103569
3569,2,4740.843557104985,203569
3569,3,3880.114641642228,303569
3569,4,4627.321627514245,403569
3569,5,2201.5637195168265,503569
3569,6,4682.876273760801,603569
3570,1,321.1437033085922,103570
3570,2,374.01757538054176,203570
3570,3,214.49307216557435,303570
3570,4,218.90752229920528,403570
3570,5,54.41633327745968,503570
