WP4,campaign,temp_beta,pu
3755,2,0.0534720856806387,203755
3756,2,0.0573215183846216,203756
3757,2,0.0692466467013042,203757
3758,2,0.0601304980864107,203758
3759,2,0.0723843347177084,203759
3528,2,0.0923728562890109,203528
3736,2,0.0674452734381932,203736
3529,2,0.0941414429303401,203529
3530,2,0.0887178648634966,203530
3531,2,0.0903815248777961,203531
3733,2,0.0652612949238889,203733
3532,2,0.0853773907058895,203532
3730,2,0.0650142542770095,203730
3731,2,0.0650142542770095,203731
3533,2,0.0762952724827117,203533
3727,2,0.0690212229391363,203727
3729,2,0.0821441322076111,203729
3728,2,0.07986192244285,203728
3534,2,0.0762952724827117,203534
3535,2,0.0703780520294568,203535
3536,2,0.074593163248263,203536
3537,2,0.0696855344144408,203537
3708,2,0.0829017318497874,203708
3538,2,0.0690689426063836,203538
3539,2,0.0690689426063836,203539
3704,2,0.0965111937416949,203704
3707,2,0.0849873715796116,203707
3705,2,0.0825944892899947,203705
3706,2,0.0825944892899947,203706
3540,2,0.0648148758956948,203540
3541,2,0.0777671467601662,203541
3697,2,0.0695110776990429,203697
3698,2,0.0768686842635062,203698
3700,2,0.0696671572294812,203700
3699,2,0.0639988256796826,203699
3701,2,0.0728176426261824,203701
3542,2,0.0850768922443253,203542
3543,2,0.121376235089876,203543
3658,2,0.0976996285852263,203658
3662,2,0.0976996285852263,203662
3659,2,0.0905411880859608,203659
3660,2,0.0851020141447813,203660
3661,2,0.0651595574237084,203661
3544,2,0.111173445617167,203544
3545,2,0.12928277653356,203545
3546,2,0.0679125092073579,203546
3547,2,0.0943718226429897,203547
3548,2,0.107660014879014,203548
3549,2,0.105541789375576,203549
3550,2,0.132744019669267,203550
3551,2,0.0954241887622963,203551
3622,2,0.123483923330621,203622
3552,2,0.091442422796871,203552
3553,2,0.108058290422465,203553
3612,2,0.0681233472312443,203612
3616,2,0.0769441917107221,203616
3613,2,0.0789332291038508,203613
3615,2,0.0838131978954302,203615
3614,2,0.0643718324889377,203614
3554,2,0.102165600808527,203554
3555,2,0.112137741710868,203555
3602,2,0.0790799964922978,203602
3610,2,0.0799932098766979,203610
3603,2,0.139374235878917,203603
3609,2,0.0967192668318833,203609
3604,2,0.0983822512301613,203604
3608,2,0.0869682260758921,203608
3605,2,0.0821686881690671,203605
3607,2,0.0675499740718319,203607
3606,2,0.0843233581677544,203606
3556,2,0.06477095250245,203556
3557,2,0.136034259981848,203557
3558,2,0.109384599826239,203558
3559,2,0.0788295866128317,203559
3560,2,0.0768242014489041,203560
3561,2,0.0717878606537954,203561
3586,2,0.113415414214641,203586
3594,2,0.071766123894432,203594
3587,2,0.114247049102867,203587
3588,2,0.0709665872062433,203588
3592,2,0.0935315073052483,203592
3589,2,0.0696227356682392,203589
