WP4,campaign,rich,simp,FD,FR,pu
3697,5,23.84573333,17.77816224,0.326286257,1.59914240984877e-5,503697
3697,2,25.60326667,19.72164748,0.312692584,1.55954926641974e-5,203697
3698,3,22.49216667,17.88888252,0.312554584,1.35771518742568e-5,303698
3698,1,28.0152,20.96631714,0.314685408,1.8525283546356e-5,103698
3698,2,25.3022,19.65342865,0.31062569,1.51561601372576e-5,203698
3698,6,24.16256667,18.22816988,0.316282431,1.63805733340472e-5,603698
3698,4,23.5266,18.33932321,0.31395527,1.22937229488451e-5,403698
3698,5,23.30266667,17.51872848,0.316871316,1.52172137602568e-5,503698
3699,6,23.7117,18.16931177,0.310245533,1.47268648243435e-5,603699
3699,5,23.51693333,18.09131528,0.315015693,1.56672578537598e-5,503699
3699,4,22.42816667,16.68333901,0.315153594,1.14200133033794e-5,403699
3699,2,25.49506667,19.90572544,0.307778194,1.43942949239392e-5,203699
3699,3,24.14866667,17.58256397,0.313560923,1.36268323404506e-5,303699
3699,1,28.57823333,21.60895892,0.314125335,1.99748344315812e-5,103699
3700,1,28.70586667,21.58875215,0.314018006,2.00491578054632e-5,103700
3700,2,26.01863333,20.03258255,0.308215757,1.48894244349949e-5,203700
3700,6,23.76483333,17.65186643,0.309658848,1.45958925254534e-5,603700
3700,5,23.4209,17.77248089,0.314631651,1.56401897425451e-5,503700
3700,3,24.37693333,17.54075439,0.31305017,1.36412530327433e-5,303700
3700,4,21.9619,16.26197535,0.314709818,1.0950122729833e-5,403700
3701,5,23.39386667,17.75396998,0.315691716,1.45283558838666e-5,503701
3701,6,23.3524,17.55758556,0.310767972,1.27696147165155e-5,603701
3701,1,28.53064286,21.74925077,0.314651178,1.85166245806148e-5,103701
3701,2,25.81464286,20.04069963,0.309131371,1.26235908521468e-5,203701
3701,3,24.15840952,17.5289192,0.314492952,1.1564550031695e-5,303701
3701,4,21.74486667,15.95451513,0.315965765,9.87429859095592e-6,403701
3702,5,25.7664,19.29538655,0.309869802,1.72909648894339e-5,503702
3702,4,24.25766667,17.6178821,0.308434336,1.31064682750692e-5,403702
3702,2,26.4849,20.1961495,0.300188404,1.66360749131865e-5,203702
3702,6,25.7984,19.08148864,0.305222447,1.61964079352537e-5,603702
3702,1,26.81423333,20.76287304,0.302525003,1.87459434742075e-5,103702
3702,3,25.5086,18.63605426,0.305062418,1.5937021680373e-5,303702
3703,5,25.7664,19.29538655,0.309869802,1.72909648894339e-5,503703
3703,4,24.25766667,17.6178821,0.308434336,1.31064682750692e-5,403703
3703,2,26.4849,20.1961495,0.300188404,1.66360749131865e-5,203703
3703,6,25.7984,19.08148864,0.305222447,1.61964079352537e-5,603703
3703,1,26.81423333,20.76287304,0.302525003,1.87459434742075e-5,103703
3703,3,25.5086,18.63605426,0.305062418,1.5937021680373e-5,303703
3704,1,14.5628,12.64984645,0.300274647,9.89723911868328e-6,103704
3704,2,14.32016667,13.03317904,0.301580554,1.03601531892313e-5,203704
3704,3,13.36533333,12.19155497,0.308326206,1.01736085876121e-5,303704
3704,6,13.27756667,12.36478283,0.305778585,9.07105122024654e-6,603704
3704,4,13.23763333,12.20754514,0.298370163,8.27308670680564e-6,403704
3704,5,13.99436667,12.9352702,0.304767818,9.4706907422112e-6,503704
3705,1,28.9772,21.60418936,0.31733908,1.99614326680948e-5,103705
3705,2,26.52236667,20.5406593,0.310922133,1.54888800275733e-5,203705
3705,3,24.84166667,18.01008323,0.319976106,1.40804830225222e-5,303705
3705,4,23.46333333,17.01664498,0.325285174,1.26104569562481e-5,403705
3705,5,23.8807,17.85659569,0.32320967,1.62761103816521e-5,503705
3705,6,24.90966667,19.02637008,0.317293128,1.56676301376665e-5,603705
3706,1,28.9772,21.60418936,0.31733908,1.99614326680948e-5,103706
3706,2,26.52236667,20.5406593,0.310922133,1.54888800275733e-5,203706
3706,3,24.84166667,18.01008323,0.319976106,1.40804830225222e-5,303706
3706,4,23.46333333,17.01664498,0.325285174,1.26104569562481e-5,403706
3706,5,23.8807,17.85659569,0.32320967,1.62761103816521e-5,503706
3706,6,24.90966667,19.02637008,0.317293128,1.56676301376665e-5,603706
3707,3,24.49476667,17.77355682,0.320358938,1.34477756220103e-5,303707
